ride_id,rideable_id,year,start_day_id,start_hour,end_day_id,end_hour,trip_duration,start_station_id,end_station_id,member_id,age,gender
1.0,,2020,6.0,0,6.0,0,14.03,1,10.0,1.0,40.0,male
2.0,,2020,6.0,0,6.0,0,3.43,2,13.0,1.0,30.0,male
3.0,,2020,6.0,0,6.0,0,14.32,3,12.0,2.0,29.0,male
4.0,,2020,6.0,0,6.0,0,11.57,3,4.0,1.0,33.0,male
5.0,,2020,6.0,0,6.0,0,24.57,5,13.0,2.0,51.0,unspecified
6.0,,2020,6.0,0,6.0,0,2.15,6,1.0,1.0,28.0,female
7.0,,2020,6.0,0,6.0,0,6.57,7,42.0,1.0,51.0,male
8.0,,2020,6.0,0,6.0,0,4.65,8,20.0,1.0,33.0,male
9.0,,2020,6.0,1,6.0,1,4.03,9,10.0,1.0,31.0,male
10.0,,2020,6.0,1,6.0,1,7.53,10,12.0,1.0,21.0,male
11.0,,2020,6.0,1,6.0,1,7.82,11,41.0,1.0,32.0,male
12.0,,2020,6.0,2,6.0,2,8.0,10,12.0,1.0,23.0,female
13.0,,2020,6.0,2,6.0,2,12.48,13,5.0,2.0,51.0,unspecified
14.0,,2020,6.0,2,6.0,2,5.3,11,14.0,1.0,26.0,male
15.0,,2020,6.0,2,6.0,3,9.55,15,36.0,1.0,49.0,male
16.0,,2020,6.0,2,6.0,3,3.53,16,13.0,1.0,24.0,male
17.0,,2020,6.0,3,6.0,6,159.73,10,17.0,1.0,29.0,male
18.0,,2020,6.0,4,6.0,5,7.67,18,14.0,1.0,60.0,male
19.0,,2020,6.0,5,6.0,5,6.82,14,19.0,1.0,60.0,male
20.0,,2020,6.0,5,6.0,5,1.17,20,25.0,1.0,27.0,male
21.0,,2020,6.0,6,6.0,6,8.27,17,18.0,1.0,60.0,male
22.0,,2020,6.0,6,6.0,6,11.37,21,3.0,1.0,36.0,female
23.0,,2020,6.0,6,6.0,6,4.93,22,11.0,1.0,34.0,female
24.0,,2020,6.0,6,6.0,6,11.4,23,19.0,2.0,51.0,unspecified
25.0,,2020,6.0,6,6.0,6,3.45,24,39.0,1.0,56.0,male
26.0,,2020,6.0,6,6.0,7,3.9,9,25.0,1.0,30.0,male
27.0,,2020,6.0,7,6.0,7,7.43,26,28.0,1.0,38.0,male
28.0,,2020,6.0,7,6.0,7,3.33,27,25.0,1.0,40.0,male
29.0,,2020,6.0,7,6.0,7,8.22,12,3.0,1.0,23.0,female
30.0,,2020,6.0,7,6.0,7,9.0,26,28.0,1.0,34.0,female
31.0,,2020,6.0,7,6.0,7,2.97,29,20.0,1.0,31.0,female
32.0,,2020,6.0,7,6.0,7,6.92,5,3.0,1.0,32.0,male
33.0,,2020,6.0,7,6.0,7,7.87,28,26.0,1.0,37.0,male
34.0,,2020,6.0,7,6.0,7,4.73,19,13.0,1.0,35.0,female
35.0,,2020,6.0,7,6.0,7,7.75,30,9.0,2.0,51.0,unspecified
36.0,,2020,6.0,7,6.0,8,4.22,9,25.0,1.0,40.0,female
37.0,,2020,6.0,8,6.0,8,1.78,13,31.0,1.0,30.0,male
38.0,,2020,6.0,8,6.0,8,5.93,15,28.0,1.0,30.0,male
39.0,,2020,6.0,8,6.0,8,3.35,19,31.0,1.0,32.0,female
40.0,,2020,6.0,8,6.0,8,4.63,11,22.0,1.0,34.0,female
41.0,,2020,6.0,8,6.0,8,19.33,15,3.0,2.0,29.0,male
42.0,,2020,6.0,8,6.0,8,9.72,32,29.0,1.0,52.0,male
43.0,,2020,6.0,8,6.0,8,10.1,32,20.0,1.0,36.0,male
44.0,,2020,6.0,8,6.0,8,5.87,13,6.0,1.0,28.0,male
45.0,,2020,6.0,8,6.0,8,6.37,9,6.0,1.0,32.0,female
46.0,,2020,6.0,8,6.0,8,7.13,33,27.0,1.0,36.0,male
47.0,,2020,6.0,8,6.0,8,10.62,34,18.0,1.0,39.0,male
48.0,,2020,6.0,8,6.0,8,2.27,8,13.0,1.0,27.0,female
49.0,,2020,6.0,8,6.0,8,6.33,15,25.0,1.0,27.0,male
50.0,,2020,6.0,8,6.0,9,21.1,23,23.0,1.0,29.0,male
51.0,,2020,6.0,8,6.0,8,11.2,35,24.0,1.0,47.0,male
52.0,,2020,6.0,8,6.0,8,5.53,36,28.0,1.0,32.0,male
53.0,,2020,6.0,8,6.0,8,2.0,10,25.0,1.0,43.0,male
54.0,,2020,6.0,8,6.0,8,6.1,7,28.0,1.0,32.0,male
55.0,,2020,6.0,8,6.0,8,3.15,37,9.0,1.0,40.0,male
56.0,,2020,6.0,8,6.0,8,7.62,38,15.0,1.0,27.0,male
57.0,,2020,6.0,8,6.0,8,5.03,39,28.0,1.0,29.0,female
58.0,,2020,6.0,8,6.0,8,4.87,1,8.0,1.0,39.0,male
59.0,,2020,6.0,8,6.0,8,5.9,10,13.0,1.0,41.0,male
60.0,,2020,6.0,8,6.0,8,2.23,10,25.0,1.0,33.0,male
61.0,,2020,6.0,8,6.0,8,4.1,40,17.0,1.0,43.0,male
62.0,,2020,6.0,8,6.0,8,1.85,10,20.0,1.0,27.0,female
63.0,,2020,6.0,8,6.0,9,21.02,18,18.0,2.0,51.0,unspecified
64.0,,2020,6.0,8,6.0,8,5.07,33,34.0,1.0,32.0,male
65.0,,2020,6.0,8,6.0,9,20.7,18,18.0,1.0,31.0,female
66.0,,2020,6.0,8,6.0,9,8.83,28,9.0,1.0,49.0,female
67.0,,2020,6.0,8,6.0,8,3.57,30,25.0,1.0,34.0,male
68.0,,2020,6.0,8,6.0,8,3.53,30,25.0,1.0,31.0,male
69.0,,2020,6.0,8,6.0,9,7.05,15,25.0,2.0,37.0,male
70.0,,2020,6.0,9,6.0,9,5.47,15,28.0,1.0,32.0,male
71.0,,2020,6.0,9,6.0,9,4.95,15,28.0,1.0,58.0,male
72.0,,2020,6.0,9,6.0,9,7.12,34,28.0,1.0,35.0,male
73.0,,2020,6.0,9,6.0,9,27.85,18,30.0,2.0,51.0,unspecified
74.0,,2020,6.0,9,6.0,9,14.4,1,31.0,1.0,30.0,male
75.0,,2020,6.0,9,6.0,9,6.58,36,28.0,1.0,33.0,male
76.0,,2020,6.0,9,6.0,9,8.97,6,41.0,2.0,51.0,unspecified
77.0,,2020,6.0,9,6.0,9,4.45,28,23.0,1.0,30.0,male
78.0,,2020,6.0,9,6.0,9,2.58,8,13.0,2.0,32.0,male
79.0,,2020,6.0,9,6.0,9,9.62,40,20.0,1.0,47.0,male
80.0,,2020,6.0,9,6.0,9,3.78,9,2.0,1.0,28.0,female
81.0,,2020,6.0,9,6.0,9,3.7,25,38.0,1.0,52.0,female
82.0,,2020,6.0,9,6.0,9,5.03,2,22.0,1.0,30.0,female
83.0,,2020,6.0,9,6.0,9,5.23,29,2.0,1.0,34.0,female
84.0,,2020,6.0,9,6.0,9,7.55,36,28.0,1.0,60.0,male
85.0,,2020,6.0,9,6.0,9,1.88,9,37.0,1.0,37.0,male
86.0,,2020,6.0,9,6.0,9,4.6,34,33.0,1.0,32.0,male
87.0,,2020,6.0,9,6.0,9,3.7,8,31.0,1.0,41.0,male
88.0,,2020,6.0,9,6.0,9,13.33,42,7.0,2.0,51.0,unspecified
89.0,,2020,6.0,9,6.0,9,1.85,11,6.0,1.0,24.0,male
90.0,,2020,6.0,9,6.0,9,4.13,17,16.0,1.0,31.0,female
91.0,,2020,6.0,9,6.0,9,8.03,5,3.0,2.0,51.0,unspecified
92.0,,2020,6.0,9,6.0,9,8.23,16,1.0,1.0,30.0,male
93.0,,2020,6.0,9,6.0,9,6.13,43,29.0,1.0,52.0,male
94.0,,2020,6.0,9,6.0,9,3.63,2,9.0,1.0,47.0,female
95.0,,2020,6.0,9,6.0,9,9.27,43,6.0,1.0,40.0,male
96.0,,2020,6.0,9,6.0,10,29.87,30,10.0,1.0,44.0,male
97.0,,2020,6.0,9,6.0,9,8.97,20,12.0,1.0,48.0,male
98.0,,2020,6.0,9,6.0,9,5.48,5,10.0,1.0,56.0,female
99.0,,2020,6.0,9,6.0,9,3.15,20,29.0,1.0,27.0,female
100.0,,2020,6.0,9,6.0,9,2.62,32,44.0,1.0,30.0,male
101.0,,2020,6.0,9,6.0,10,7.03,38,31.0,2.0,28.0,male
102.0,,2020,6.0,9,6.0,10,4.82,13,19.0,1.0,35.0,female
103.0,,2020,6.0,9,6.0,10,8.55,24,27.0,2.0,37.0,male
104.0,,2020,6.0,9,6.0,9,3.12,16,13.0,1.0,48.0,male
105.0,,2020,6.0,9,6.0,10,3.45,13,11.0,1.0,31.0,male
106.0,,2020,6.0,10,6.0,10,2.57,24,28.0,1.0,42.0,male
107.0,,2020,6.0,10,6.0,10,6.4,9,3.0,1.0,27.0,male
108.0,,2020,6.0,10,6.0,10,3.72,14,13.0,1.0,42.0,male
109.0,,2020,6.0,10,6.0,10,4.77,9,11.0,1.0,31.0,female
110.0,,2020,6.0,10,6.0,10,2.3,38,25.0,1.0,45.0,male
111.0,,2020,6.0,10,6.0,10,6.78,8,1.0,1.0,39.0,male
112.0,,2020,6.0,10,6.0,10,4.52,18,38.0,1.0,33.0,female
113.0,,2020,6.0,10,6.0,10,2.13,29,38.0,1.0,33.0,male
114.0,,2020,6.0,10,6.0,10,5.72,36,28.0,1.0,32.0,male
115.0,,2020,6.0,10,6.0,10,2.25,13,16.0,1.0,48.0,male
116.0,,2020,6.0,10,6.0,10,4.28,9,20.0,1.0,32.0,male
117.0,,2020,6.0,10,6.0,10,7.05,43,41.0,1.0,51.0,male
118.0,,2020,6.0,10,6.0,10,5.18,30,9.0,1.0,27.0,male
119.0,,2020,6.0,10,6.0,10,11.43,22,45.0,1.0,31.0,female
120.0,,2020,6.0,10,6.0,10,3.62,28,24.0,1.0,42.0,female
121.0,,2020,6.0,10,6.0,10,4.97,20,9.0,1.0,32.0,male
122.0,,2020,6.0,10,6.0,10,4.48,38,25.0,1.0,52.0,female
123.0,,2020,6.0,10,6.0,10,24.77,3,11.0,2.0,51.0,unspecified
124.0,,2020,6.0,10,6.0,10,7.17,12,3.0,2.0,29.0,male
125.0,,2020,6.0,10,6.0,10,4.3,13,6.0,1.0,26.0,male
126.0,,2020,6.0,10,6.0,10,4.5,30,14.0,1.0,56.0,female
127.0,,2020,6.0,10,6.0,10,3.83,37,22.0,1.0,29.0,male
128.0,,2020,6.0,10,6.0,10,3.57,25,9.0,1.0,51.0,unspecified
129.0,,2020,6.0,10,6.0,10,8.25,38,14.0,1.0,39.0,male
130.0,,2020,6.0,10,6.0,10,7.65,24,3.0,1.0,32.0,male
131.0,,2020,6.0,10,6.0,10,6.33,25,9.0,1.0,28.0,female
132.0,,2020,6.0,10,6.0,10,7.3,40,40.0,1.0,33.0,male
133.0,,2020,6.0,10,6.0,10,2.6,37,25.0,1.0,68.0,male
134.0,,2020,6.0,10,6.0,10,3.82,3,31.0,1.0,55.0,male
135.0,,2020,6.0,10,6.0,10,5.8,16,20.0,1.0,34.0,male
136.0,,2020,6.0,10,6.0,10,1.92,6,11.0,1.0,25.0,male
137.0,,2020,6.0,10,6.0,10,4.85,46,13.0,1.0,36.0,female
138.0,,2020,6.0,10,6.0,10,4.18,37,8.0,1.0,37.0,male
139.0,,2020,6.0,10,6.0,10,4.05,38,25.0,1.0,36.0,female
140.0,,2020,6.0,10,6.0,10,3.72,13,14.0,1.0,42.0,male
141.0,,2020,6.0,10,6.0,10,11.02,20,40.0,1.0,47.0,male
142.0,,2020,6.0,10,6.0,10,3.07,24,28.0,1.0,40.0,male
143.0,,2020,6.0,10,6.0,10,5.5,17,38.0,1.0,49.0,male
144.0,,2020,6.0,10,6.0,10,3.17,1,11.0,1.0,45.0,male
145.0,,2020,6.0,10,6.0,10,6.88,16,16.0,1.0,33.0,female
146.0,,2020,6.0,10,6.0,10,4.07,22,2.0,1.0,35.0,male
147.0,,2020,6.0,10,6.0,10,4.92,9,25.0,1.0,48.0,male
148.0,,2020,6.0,10,6.0,10,5.78,39,15.0,1.0,52.0,male
149.0,,2020,6.0,10,6.0,10,8.45,13,46.0,1.0,50.0,female
150.0,,2020,6.0,10,6.0,10,6.92,34,45.0,1.0,28.0,male
151.0,,2020,6.0,10,6.0,10,7.98,13,46.0,1.0,31.0,female
152.0,,2020,6.0,10,6.0,10,11.52,1,31.0,1.0,34.0,male
153.0,,2020,6.0,10,6.0,10,5.9,8,18.0,1.0,33.0,female
154.0,,2020,6.0,10,6.0,10,11.45,1,31.0,1.0,33.0,female
155.0,,2020,6.0,10,6.0,10,2.7,10,25.0,1.0,42.0,male
156.0,,2020,6.0,10,6.0,10,6.67,23,7.0,1.0,29.0,male
157.0,,2020,6.0,10,6.0,11,19.68,47,5.0,1.0,30.0,male
158.0,,2020,6.0,10,6.0,12,97.02,5,5.0,2.0,37.0,male
159.0,,2020,6.0,10,6.0,10,4.07,13,6.0,1.0,32.0,male
160.0,,2020,6.0,10,6.0,10,3.87,18,25.0,1.0,39.0,male
161.0,,2020,6.0,10,6.0,10,3.83,9,20.0,1.0,40.0,female
162.0,,2020,6.0,10,6.0,10,2.68,24,28.0,1.0,43.0,female
163.0,,2020,6.0,10,6.0,11,8.0,28,26.0,1.0,24.0,male
164.0,,2020,6.0,10,6.0,11,3.42,25,38.0,1.0,31.0,male
165.0,,2020,6.0,10,6.0,11,4.7,48,9.0,1.0,29.0,male
166.0,,2020,6.0,10,6.0,11,5.8,14,20.0,1.0,38.0,female
167.0,,2020,6.0,10,6.0,11,3.12,9,29.0,1.0,56.0,male
168.0,,2020,6.0,10,6.0,11,57.57,41,25.0,2.0,51.0,unspecified
